a method for estimation of XXXXX of XXXXX is presented	['effective properties', 'porous materials']
demonstration of the improved XXXXX of the src for noisy XXXXX and online dataset	['classification accuracy', 'test signals']
XXXXX increased with XXXXX	['image quality', 'compressive sensing method']
we use 3d-dwt to capture the 3d XXXXX of brain , use als-pca for XXXXX of dataset containing missing attributes	['texture feature', 'feature reduction']
an unsupervised , XXXXX , XXXXX for brain tumor segmentation is proposed	['low cost', 'hybrid approach']
XXXXX is evaluated by standard viability assay while XXXXX required the development of a special algorithm	['cell proliferation', 'cell morphology']
our data show that ultrasounds induce cell differentiation affecting XXXXX as well as the ability of neurons and microglia to form XXXXX	['complex networks', 'cell morphology']
we propose a multiscale svd based XXXXX for multilead XXXXX	['compression algorithm', 'ecg data']
XXXXX and XXXXX are employed to improve performance of the system	['genetic algorithm', 'linear discriminant analysis']
XXXXX permit identifying characteristic points of the XXXXX	['curvelet transform', 'ecg signal']
detection of pvc in XXXXX using the fractional XXXXX outperforms detection using XXXXX	['ecg signals', 'linear prediction']
detection of pvc in XXXXX using the fractional XXXXX outperforms detection using XXXXX	['ecg signals', 'linear prediction']
we propose an adaptive rv measure based fuzzy weighting XXXXX for XXXXX	['subspace clustering', 'fmri data analysis']
compared with the XXXXX , the normalized XXXXX can be used to locate the lesion in cortex , since the real cortex is far less-than-ideal model	['gradient method', 'pca decomposition']
a speckle reduction filter for XXXXX using XXXXX on coefficient of variation ( cv ) is proposed	['ultrasound images', 'fuzzy logic']
experiments based on well established database were carried out to evaluate the performance of the proposed approach . the results demonstrated better characterization of the movement assessment and motion recognition ability , with a XXXXX of 86.19 % , than the currently used methods such as XXXXX and pose normalization employed in motion recognition tasks	['recognition rate', 'gaussian mixture models']
the XXXXX is computationally efficient in the presence of high-resolution retinal XXXXX	['fundus images', 'registration method']
s-crc is tested for emg signal XXXXX for 10 XXXXX	['pattern recognition', 'hand gestures']
in a former paper which is accepted in this journal ( which is under revision ) we implemented several filtering methods for hemodynamic XXXXX . there we showed in detail that the hemodynamic model is weakly non-linear . based on that finding we extended our researched by implementing a successful joint hemodynamic state and XXXXX . we also implemented the algorithm to a real fmri data set	['state estimation', 'parameter estimation method']
in a former paper which is accepted in this journal ( which is under revision ) we implemented several filtering methods for hemodynamic XXXXX . there we showed in detail that the hemodynamic model is weakly non-linear . based on that finding we extended our researched by implementing a successful joint hemodynamic state and parameter estimation method . we also implemented the algorithm to a real XXXXX set	['state estimation', 'fmri data']
in a former paper which is accepted in this journal ( which is under revision ) we implemented several filtering methods for hemodynamic state estimation . there we showed in detail that the hemodynamic model is weakly non-linear . based on that finding we extended our researched by implementing a successful joint hemodynamic state and XXXXX . we also implemented the algorithm to a real XXXXX set	['parameter estimation method', 'fmri data']
we emphasized the following point in the literature . it is alleged that XXXXX is unrobust and poor in performance . we carefully examined this allegation under various state/measurement noise conditions . this allegation is not true for the widely used hemodynamic model in a wide range of process and measurement noise conditions . furthermore , several times XXXXX are alleged to outperform extended kalman filters . the alleged ekf is shown to be better in state estimation . we examined carefully and showed the contrary is true	['extended kalman filter', 'particle filters']
we emphasized the following point in the literature . it is alleged that XXXXX is unrobust and poor in performance . we carefully examined this allegation under various state/measurement noise conditions . this allegation is not true for the widely used hemodynamic model in a wide range of process and measurement noise conditions . furthermore , several times particle filters are alleged to outperform extended kalman filters . the alleged ekf is shown to be better in XXXXX . we examined carefully and showed the contrary is true	['extended kalman filter', 'state estimation']
we emphasized the following point in the literature . it is alleged that extended kalman filter is unrobust and poor in performance . we carefully examined this allegation under various state/measurement noise conditions . this allegation is not true for the widely used hemodynamic model in a wide range of process and measurement noise conditions . furthermore , several times XXXXX are alleged to outperform extended kalman filters . the alleged ekf is shown to be better in XXXXX . we examined carefully and showed the contrary is true	['particle filters', 'state estimation']
the XXXXX is applied for the joint parameter and XXXXX . in the standard implementation of smoother there is no iteration . we compared iterative performance and noted substantial improvement in performance	['iterative scheme', 'state estimation']
1/enhl negatively correlates with the XXXXX α of a de-trended XXXXX	['scaling factor', 'fluctuation analysis']
enhl and the XXXXX α reflect information about XXXXX of balance	['scaling factor', 'motor control']
random forest , random tree , mlp network and XXXXX ( svm ) are employed for XXXXX	['support vector machines', 'data classification']
random forest , XXXXX , mlp network and XXXXX ( svm ) are employed for data classification	['support vector machines', 'random tree']
random forest , XXXXX , mlp network and support vector machines ( svm ) are employed for XXXXX	['data classification', 'random tree']
the XXXXX using the mit-bih arrhythmia database shows a high XXXXX of 97 %	['performance evaluation', 'classification accuracy']
the XXXXX using the mit-bih XXXXX shows a high classification accuracy of 97 %	['performance evaluation', 'arrhythmia database']
the performance evaluation using the mit-bih XXXXX shows a high XXXXX of 97 %	['classification accuracy', 'arrhythmia database']
the proposed work presents a novel framework for fast and fully XXXXX of od in XXXXX	['automatic detection', 'fundus images']
a new method for XXXXX of XXXXX is proposed	['automatic segmentation', 'coronary arteries']
the high XXXXX achieved is represented by an area under XXXXX of az=0.961 with a training set of 40 images	['detection rate', 'roc curve']
an automatic multi-organ XXXXX of prostate XXXXX is proposed	['magnetic resonance images', 'segmentation method']
a 2d XXXXX is modeled using the inter-scale ratio of XXXXX	['wavelet coefficients', 'gel image']
the XXXXX obtained can help integrating a cgms into an XXXXX	['artificial pancreas', 'error reduction']
XXXXX of the XXXXX in frequency and time domain are derived	['analytical solutions', 'dispersion model']
XXXXX of the dispersion model in frequency and XXXXX are derived	['analytical solutions', 'time domain']
